iter	Passed	Remaining
0	147	14563
1	180	8826
2	222	7198
3	376	9036
4	531	10099
5	650	10185
6	770	10240
7	880	10120
8	988	9995
9	1094	9851
10	1226	9923
11	1344	9857
12	1469	9832
13	1580	9707
14	1695	9609
15	1804	9472
16	1912	9335
17	2019	9198
18	2159	9204
19	2282	9128
20	2409	9065
21	2532	8978
22	2642	8847
23	2759	8738
24	2867	8603
25	2941	8373
26	2965	8016
27	3098	7966
28	3207	7852
29	3315	7736
30	3426	7627
31	3537	7516
32	3690	7492
33	3829	7434
34	3971	7374
35	4110	7308
36	4241	7222
37	4349	7096
38	4459	6975
39	4573	6859
40	4701	6765
41	4810	6642
42	4920	6522
43	5036	6409
44	5145	6288
45	5275	6192
46	5382	6069
47	5491	5948
48	5607	5836
49	5720	5720
50	5831	5602
51	5940	5483
52	6050	5365
53	6169	5255
54	6316	5168
55	6438	5058
56	6545	4937
57	6654	4818
58	6708	4661
59	6822	4548
60	6932	4432
61	7040	4314
62	7144	4196
63	7296	4104
64	7438	4005
65	7587	3908
66	7708	3796
67	7813	3676
68	7925	3560
69	8038	3444
70	8144	3326
71	8250	3208
72	8384	3101
73	8489	2982
74	8601	2867
75	8710	2750
76	8905	2660
77	9033	2547
78	9141	2430
79	9250	2312
80	9358	2195
81	9491	2083
82	9604	1967
83	9714	1850
84	9824	1733
85	9934	1617
86	10040	1500
87	10146	1383
88	10254	1267
89	10362	1151
90	10490	1037
91	10605	922
92	10714	806
93	10822	690
94	10933	575
95	11040	460
96	11149	344
97	11258	229
98	11376	114
99	11516	0
